postcode, ra_category, ra_name
3223, 1, Inner Regional Australia
3225, 1, Inner Regional Australia
3226, 1, Inner Regional Australia
3227, 1, Inner Regional Australia
3228, 1, Inner Regional Australia
3230, 1, Inner Regional Australia
3231, 1, Inner Regional Australia
3232, 1, Inner Regional Australia
3233, 1, Inner Regional Australia
3234, 1, Inner Regional Australia
3235, 1, Inner Regional Australia
3236, 1, Inner Regional Australia
3237, 2, Outer Regional Australia
3238, 2, Outer Regional Australia
3239, 2, Outer Regional Australia
3240, 1, Inner Regional Australia
3241, 1, Inner Regional Australia
3242, 1, Inner Regional Australia
3243, 1, Inner Regional Australia
3249, 1, Inner Regional Australia
3250, 1, Inner Regional Australia
3251, 1, Inner Regional Australia
3254, 1, Inner Regional Australia
3260, 1, Inner Regional Australia
3264, 1, Inner Regional Australia
3265, 1, Inner Regional Australia
3266, 1, Inner Regional Australia
3267, 2, Outer Regional Australia
3268, 2, Outer Regional Australia
3269, 2, Outer Regional Australia
3270, 2, Outer Regional Australia
3271, 2, Outer Regional Australia
3272, 2, Outer Regional Australia
3273, 2, Outer Regional Australia
3274, 2, Outer Regional Australia
3275, 1, Inner Regional Australia
3276, 1, Inner Regional Australia
3277, 1, Inner Regional Australia
3278, 1, Inner Regional Australia
3279, 1, Inner Regional Australia
3280, 1, Inner Regional Australia
3281, 1, Inner Regional Australia
3282, 1, Inner Regional Australia
3283, 1, Inner Regional Australia
3284, 1, Inner Regional Australia
3285, 2, Outer Regional Australia
3286, 2, Outer Regional Australia
3287, 2, Outer Regional Australia
3289, 2, Outer Regional Australia
3292, 2, Outer Regional Australia
3293, 2, Outer Regional Australia
3294, 2, Outer Regional Australia
3300, 1, Inner Regional Australia
3301, 2, Outer Regional Australia
3302, 2, Outer Regional Australia
3303, 2, Outer Regional Australia
3304, 2, Outer Regional Australia
3305, 2, Outer Regional Australia
3309, 2, Outer Regional Australia
3310, 2, Outer Regional Australia
3311, 2, Outer Regional Australia
3312, 2, Outer Regional Australia
3314, 2, Outer Regional Australia
3315, 2, Outer Regional Australia
3317, 2, Outer Regional Australia
3318, 2, Outer Regional Australia
3319, 2, Outer Regional Australia
3321, 1, Inner Regional Australia
3322, 1, Inner Regional Australia
3323, 2, Outer Regional Australia
3324, 2, Outer Regional Australia
3325, 2, Outer Regional Australia
3328, 1, Inner Regional Australia
3329, 1, Inner Regional Australia
3330, 1, Inner Regional Australia
3331, 1, Inner Regional Australia
3332, 1, Inner Regional Australia
3333, 1, Inner Regional Australia
3334, 1, Inner Regional Australia
3335, 1, Inner Regional Australia
3340, 1, Inner Regional Australia
3341, 1, Inner Regional Australia
3342, 1, Inner Regional Australia
3345, 1, Inner Regional Australia
3350, 1, Inner Regional Australia
3351, 1, Inner Regional Australia
3352, 1, Inner Regional Australia
3355, 1, Inner Regional Australia
3356, 1, Inner Regional Australia
3357, 1, Inner Regional Australia
3360, 1, Inner Regional Australia
3361, 1, Inner Regional Australia
3363, 1, Inner Regional Australia
